Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
334,STIP: Statin Trial for Influenza Patients,Terminated,Has Results,Drug: Rosuvastatin (crestor)|Drug: Placebo,"Hospital Mortality to Day 28 or if Mortality is Not Different Between Groups, Time to Achieve Resolution of Respiratory Failure (e.g., Time to Unassisted Breathing in Survivors (Including Patient's Never Requiring Mechanical Ventilation).","13 Years and older   (Child, Adult, Older Adult)",Not Applicable,7,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",11-Jul,"University of Arkansas, Little Rock, Alaska, United States",https://ClinicalTrials.gov/show/NCT00970606,,36.09352375,-94.17708979,"University of Arkansas, Little Rock",University of Arkansas,"Gordon R Bernard, M.D.",Washington,12,0.161466335,0,Arkansas,61,0
335,Maintaining Optimal HVNI Delivery Using Automatic Titration of Oxygen in Preterm Infants,Recruiting,No Results Available,Device: Automated Control|Device: Manual Control,Primary Safety Objective - Proportion of Time Outside of SpO2 Target Range|Primary Performance Objective - Proportion of Time Within SpO2 Target Range|Secondary Performance Objective 1 - Proportion of Time Within SpO2 Target Range (Weight Groups)|Secondary Performance Objective 2 - Proportion of Time Within SpO2 Target Range (Skin Pigmentation),"Child, Adult, Older Adult",Not Applicable,47,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Dec-23,"Children's National Hospital & Research Institute, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT05030012,,38.9273449,-77.0145221,"Children's National Hospital & Research Institute, Washington",Children's National Hospital & Research Institute,"Billie L Short, MD",,,,0,District of Columbia,314,
336,Universal Anti-Viral Vaccine for Healthy Elderly Adults,Completed,No Results Available,Drug: AlloStim,frequency of vaccine events|Proportion of subjects with positive T-cell response|Proportion of subjects able to suppress viral propagation,65 Years and older   (Older Adult),Phase 1|Phase 2,40,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,1-Apr-23,"Delray Physician Care Center, Delray Beach, Florida, United States",https://ClinicalTrials.gov/show/NCT04441047,,26.4588588,-80.0959837,"Delray Physician Care Center, Delray Beach",Delray Physician Care Center,"David Fineberg, MD",Palm Beach,401,0.220609298,1,Florida,401,18.28400956
337,Trial of Late Surfactant to Prevent BPD: A Pilot Study in Ventilated Preterm Neonates Receiving Inhaled Nitric Oxide,Completed,Has Results,Drug: Infasurf (ONY Inc.)|Drug: Sham,SP-B Content|Alive Without BPD at 36 Weeks Post Menstrual Age,7 Days to 14 Days   (Child),Phase 3,85,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",12-Dec,"Alta Bates Summit Medical Center, Berkeley, California, United States",https://ClinicalTrials.gov/show/NCT00569530,,37.8215138,-122.2631811,"Alta Bates Summit Medical Center, Berkeley",Alta Bates Summit Medical Center,"Roberta A Ballard, MD",Alameda,282,0.175524759,1,California,282,4.346152876
338,Early Surfactant to Reduce Use of Mechanical Breathing in Low Birth Weight Infants,Terminated,No Results Available,Drug: Early surfactant|Drug: Standard practice,Need for mechanical ventilation following randomization|Mean duration of mechanical ventilation|Risk morbidities associated with mechanical ventilation and/or early surfactant administration,up to 12 Hours   (Child),Phase 3,61,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2-Jul,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT00005774,,33.5016153,-86.80604756,"University of Alabama at Birmingham, Birmingham",University of Alabama at Birmingham,"Edward F. Donovan, MD",Jefferson,471,0.48493457,6,Alabama,471,100
339,Epidemiologic Multicenter Study on Mechanical Ventilation Management in Children With Acute Lung Injury,Completed,No Results Available,,,"up to 18 Years   (Child, Adult)",,,Observational,Time Perspective: Prospective,7-Nov,"Children's Hospital Los Angeles, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT00521625,,34.0976912,-118.2900801,"Children's Hospital Los Angeles, Los Angeles",Children's Hospital Los Angeles,"Philippe Jouvet, MD",Los Angeles,2126,0.184174979,1,California,2126,7.020362911
340,Intravenous Aviptadil for Critical COVID-19 With Respiratory Failure,Completed,No Results Available,Drug: Aviptadil by intravenous infusion + standard of care|Drug: Normal Saline Infusion + standard of care,Resolution of Respiratory Failure (Alive and Free of Respiratory Failure)|Survival through day 60 (key secondary)|Improvement on NIAID Scale (key secondary measure)|Time to ICU discharge|Time on ventilation|Time to extubation|Time to discharge alive|Multi-organ failure free days,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2|Phase 3,196,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",22-Feb-21,"St. Jude Medical Center, Fullerton, California, United States",https://ClinicalTrials.gov/show/NCT04311697,,33.89466005,-117.9270646,"St. Jude Medical Center, Fullerton",St. Jude Medical Center,"Jonathan C Javitt, MD, MPH",Orange,0,0.178217076,1,California,651,5.178480972
341,A Phase II Study to Determine the Efficacy and Safety of Sivelestat in Subjects With Acute Lung Injury,Completed,No Results Available,Drug: Sivelestat,,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,600,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,2-Dec,"Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT00036062,,33.5206824,-86.8024326,"Birmingham, Alabama",Birmingham,,Jefferson,471,0.48493457,1,Alabama,471,100
342,Low-Level Laser Therapy Treatment of Lung Inflammation in Post-COVID-19 Recovery,Terminated,No Results Available,Device: LLLT Photobiomodulation,Decreased inflammation of the lungs|Subjective assessment of overall health,"18 Years and older   (Adult, Older Adult)",,5,Observational,Observational Model: Case-Only|Time Perspective: Prospective,21-Nov-22,"MD at Bedside, Berkeley, California, United States",https://ClinicalTrials.gov/show/NCT05258617,,37.8510347,-122.2526672,"MD at Bedside, Berkeley",MD at Bedside,,Alameda,282,0.175524759,0,California,282,4.346152876
343,Inhaled Sedation in COVID-19-related Acute Respiratory Distress Syndrome (ISCA): an International Research Data Study in the Recent Context of Widespread Disease Resulting From the 2019 (SARS-CoV2) Coronavirus Pandemics (COVID-19),Completed,No Results Available,Drug: Intravenous sedation|Drug: Inhaled sedation,"Number of days off the ventilator (VFD28, for ventilator-free days), taking into account death as a competing event|All-cause mortality|Ventilator-free days|ICU-free days|Duration of invasive mechanical ventilation|Duration of controlled mechanical ventilation|Physiological measures of lung function|Development of complications|Duration of vasopressor use|Duration of renal replacement therapy|Duration (in days) of any adjuvant therapies|Duration of continuous neuromuscular blockade|Type of sedation practices|Duration of sedation practices|Modalities of sedation practices","18 Years and older   (Adult, Older Adult)",,203,Observational,Observational Model: Cohort|Time Perspective: Retrospective,30-Apr-21,"Beth Israel Deaconess Medical Center, Inc., Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04383730,,42.33837185,-71.10970568,"Beth Israel Deaconess Medical Center, Inc.",Beth Israel Deaconess Medical Center,Matthieu Jabaudon,Suffolk,281,0.317766372,4,Massachusetts,447,48.32005745
344,Rescue Antenatal Steroids and Pulmonary Function Tests in Preterm Infants,Completed,Has Results,Drug: betamethasone|Drug: placebo,Measurements of Functional Residual Capacity in Preterm Infants.|Measurements of Respiratory Compliance (Crs) in Preterm Infants.|FiO2,"15 Years and older   (Child, Adult, Older Adult)",Not Applicable,85,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",9-Nov,"Oregon Health & Science University, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT00669383,,45.4981929,-122.6864957,"Oregon Health & Science University, Portland",Oregon Health & Science University,"Cynthia McEvoy, MD",Multnomah,165,0.16653337,2,Oregon,165,1.566470661
345,Aerosolized Infasurf Treatment Protocol: Aerosolized Infasurf for Spontaneously Breathing Patients With Early RDS (AERO-03),Available,No Results Available,Combination Product: Infasurf Aero,,up to 42 Weeks   (Child),,,Expanded Access:Treatment IND/Protocol,,,"University of Mississippi Medical Center, Jackson, Mississippi, United States",https://ClinicalTrials.gov/show/NCT03582930,,32.32938955,-90.17252057,"University of Mississippi Medical Center, Jackson",University of Mississippi Medical Center,"Jim Cummings, MD",Hinds,218,0.421292324,0,Mississippi,218,80.32503995
346,ACTION ON COVID-19: A Study to Test Whether BI 764198 Helps Lung Health of People Hospitalised With COVID-19,Terminated,Has Results,Drug: BI 764198|Drug: Placebo,"Percentage of Patients Alive and Free of Mechanical Ventilation|Percentage of Patients Alive and Discharged Free of Oxygen Use|Percentage of Patients With Occurrence of Any Component of Composite: In-hospital Mortality or Intensive Care Unit (ICU) Admission or Mechanical Ventilation|Time to Clinical Improvement of at Least 2 Points (From Randomisation) on the World Health Organization Clinical Progression Scale, Discharge From the Hospital, or Considered Fit for Discharge|Number of Ventilator Free Days|Percentage of Mortality at Day 15, 29, 60 and 90","50 Years and older   (Adult, Older Adult)",Phase 2,133,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",31-May-21,"University of California Irvine, Orange, California, United States",https://ClinicalTrials.gov/show/NCT04604184,,33.6431901,-117.8401649,"University of California Irvine, Orange",University of California Irvine,,Orange,0,0.178217076,1,California,651,5.178480972
348,Observational Study of Expected ARF Recovery,Completed,No Results Available,,Quality of life measured using the World Health Organization Quality of Life-BREF instrument (WHOQOL-BREF) after hospital discharge|Patient expectation error measure using EQ-5D VAS,"18 Years and older   (Adult, Older Adult)",,180,Observational,Observational Model: Cohort|Time Perspective: Prospective,1-Dec-21,"Johns Hopkins University, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT03797313,,39.33020225,-76.62185358,"Johns Hopkins University, Baltimore",Johns Hopkins University,Alison Turnbull,,,,1,Maryland,123,
349,Sedation Management in Pediatric Patients With Acute Respiratory Failure (The RESTORE Study),Completed,No Results Available,Behavioral: Team approach to sedation management|Behavioral: Usual approach to sedation management,Duration of mechanical ventilation|Time to recovery of acute respiratory failure|Duration of weaning from mechanical ventilation|Occurrence of adverse events|Detection of life-threatening neurological events|Total sedative exposure|Occurrence of iatrogenic withdrawal symptoms|Pediatric ICU and hospital length of stay|Hospital costs|Study implementation costs and cost-effectiveness|In-hospital mortality|Post-discharge quality of life and emotional health,"2 Weeks to 18 Years   (Child, Adult)",Phase 3,2449,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13-Dec,"Children's Hospital of Alabama, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT00814099,,33.5055774,-86.8063806,"Children's Hospital of Alabama, Birmingham",Children's Hospital of Alabama,"Martha A.Q. Curley, RN, PhD",Jefferson,471,0.48493457,1,Alabama,471,100
350,The Budesonide in Babies (BiB) Trial,Recruiting,No Results Available,Drug: budesonide (Pulmicort nebulizing suspension).|Drug: surfactant (poractant alfa;Curosurf),Number of Participants with Physiologic BPD or death|Number of Participants with Death by 36 weeks' post-menstrual age|Number of Participants with Physiologic BPD|Grade of BPD Severity|Number of Participants with Grade 3 BPD|Number of Participants with Use of Additional Postnatal Steroids|Number of Participants with Severe Neurodevelopmental Impairment (NDI)|Number of Participants with Death by 2 years|Number of Participants with Severe NDI or death,up to 48 Hours   (Child),Phase 3,1160,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",30-Sep-27,"University of Alabama, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT04545866,,33.5016153,-86.80604756,"University of Alabama, Birmingham",University of Alabama,"Namasivayam Ambalavanan, MD",Jefferson,471,0.48493457,0,Alabama,471,100
351,Fostamatinib for Hospitalized Adults With COVID-19,Completed,Has Results,Drug: Placebo|Drug: fostamatinib,Number of Participants With at Least 1 Serious Adverse Event|Number of Participants With Sustained Recoveries Defined by Ordinal Scale Score of 3 or Less|Number of Participants Who Progress to Mechanical Ventilation|Number of Participants With Cumulative Clinical Endpoint of Death|Number of Grade 3 and 4 Adverse Events Through Day 60|Participant Score on Ordinal Scale|Change in C-Reactive Protein Levels From Baseline|Change in Fibrinogen Levels From Baseline.|Change in D-Dimer Levels From Baseline|Change in Ferritin Levels From Baseline|Change in Interleukin 6 (IL6) Levels From Baseline|Median Days Participants Were Admitted to Intensive Care Unit|Relative Change in SpO2/FiO2 Ratio|Change in SOFA Score From Baseline|Median Days on Participants Received Supplemental Oxygen|The Number of Participants That Experienced Acute Renal Failure|Number of Participants That Experienced a Deep Vein Thrombosis (DVT) or Pulmonary Embolism (PE)|Change in Absolute Lymphocyte Count Levels From Baseline|Change in Absolute Neutrophil Count Levels From Baseline|Change in Platelet Count Levels From Baseline,"18 Years and older   (Adult, Older Adult)",Phase 2,59,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",30-Apr-21,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04579393,,39.0019296,-77.1044561,"National Institutes of Health Clinical Center, Bethesda",National Institutes of Health Clinical Center,"Jeffrey R Strich, M.D.",Montgomery,22,0.337506251,3,Maryland,150,54.42262855
